PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	LITSCHERT, RJ				LITSCHERT, RJ			SOME CHARACTERISTICS OF ORGANIZATION FOR LONG-RANGE PLANNING	ACADEMY OF MANAGEMENT JOURNAL			English	Article									VIRGINIA POLYTECH INST,BLACKSBURG,VA								BRANCH MC, 1964, CALIFORNIA MANAGEMEN, V7; SCOTT BW, 1965, LONG RANGE PLANNING, P159; STEINER GA, 1963, MANAGERIAL LONG RANG, P20	3	2	2	0	2	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1967	10	3					247	256		10.2307/255283			10	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	ZJ796	WOS:A1967ZJ79600004					2022-01-23	
J	ROBIN, DP				ROBIN, DP			INPUT-OUTPUT MODEL OF EMPLOYEE BEHAVIOR	ACADEMY OF MANAGEMENT JOURNAL			English	Article									LOUISIANA STATE UNIV,BATON ROUGE,LA								BENTHAM J, 1825, RATIONAL REWARD, P19; BLAKE RR, 1964, HARVARD BUS REV, V42, P133; DAVIS K, 1967, HUMAN RELATIONS WORK, pCH1; HERZBERG F, 1959, MOTIVATION WORK, P79; KRECH D, 1959, INDIVIDUAL SOC, pCH7; LEFTWICH RH, 1966, PRICE SYSTEM RESOURC, pCH4; Levinson H., 1962, MEN MANAGEMENT MENTA, P21; Maslow, 1954, MOTIVATION PERSONALI; SCHINDLER JA, LIVE 365 DAYS YEAR, P182; SCHLAIFER R, 1959, PROBABILITY STATISTI, pCH7; VROOM VH, 1964, WORK MOTIVATION, P204	11	2	2	0	4	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1967	10	3					257	268		10.2307/255284			12	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	ZJ796	WOS:A1967ZJ79600005					2022-01-23	
J	CLAUSEN, JA				CLAUSEN, JA			RESEARCH ON SOCIALIZATION AND PERSONALITY DEVELOPMENT IN UNITED-STATES AND FRANCE - REPLY	AMERICAN SOCIOLOGICAL REVIEW			English	Article									UNIV CALIF BERKELEY,BERKELEY,CA								ANDERSON N, RECHERCHES FAMILLE, V2; Baldwin AL, 1949, CHILD DEV, V20, P49; BRONFENBRENNER U, 1958, READINGS SOCIAL PSYC; CHARMS RD, 1962, J ABNORMAL SOCIAL PS, V64, P136; CHOMBARTDELAUWE PH, 1960, FAMILLE HABITATION, V2; *COMM SOC SOC STR, OBS METH RES SOC PRO; COOLEY CH, 1903, HUMAN NATURE SOCIAL; DAVIS A, 1940, CHILDREN BONDAGE; FLAVELL JH, 1963, DEVELOPMENTAL PSYCHO; Frazier E.F., 1940, NEGRO YOUTH CROSSWAY; Giddings F., 1897, THEORY SOCIALIZATION; HOFFMAN ML, 1966, REV CHILD DEVELOPMEN, V2; HOFFMAN ML, 1964, REV CHILD DEVELOPMEN, V1; JOHNSON CS, 1941, GROWING UP BLACK BEL; KESSEN W, 1962, MONOGRAPHS SOC RESEA, V27; KOHN ML, 1959, AM J SOCIOL, V64, P337, DOI 10.1086/222493; KOHN ML, 1960, SOCIOMETRY, V23, P372, DOI 10.2307/2785691; KOHN ML, 1959, AM SOCIOL REV, V24, P362; LARRUE J, 1958, ENFANCE, V1, P31; LOBROT M, 1962, ENFANCE, V1, P69; MACCOBY EE, 1961, SOCIOMETRY, V24, P357, DOI 10.2307/2785918; Mead GeorgeHerbert., 1937, MIND SELF SOC; MEAD M, 1955, CHILDHOOD CONTEMPORA; MICHEL A, 1962, SEMAINE ETUDE ADOLES; MURPHY G, 1937, EXPT SOCIAL PSYCHOLO; MUSSEN PH, 1960, HDB RESEARCH METHODS; PARK RE, 1915, PRINCIPLES HUMAN BEH, P9; PSATHAS G, 1957, AM SOCIOL REV, V22, P415, DOI 10.2307/2089159; ROSEN BC, 1956, AM SOCIOL REV, V21, P203, DOI 10.2307/2088523; Sears R. R., 1957, PATTERNS CHILD REARI; SEWELL WH, 1963, ANN AM ACAD POLIT SS, V349, P163, DOI 10.1177/000271626334900115; SEWELL WH, 1961, SOCIOMETRY, V24, P340, DOI 10.2307/2785917; Shaw C. R., 1929, DELINQUENCY AREAS; SHERIF M, 1947, PSYCHOLOGY EGO INVOL; Singer Milton, 1961, STUDYING PERSONALITY, P9; STCLAIRDRAKE, 1945, BLACK METROPOLIS; STEVENSON HW, 1963, CHILD PSYCHOLOGY; WIRTH L, 1956, GHETTO; WRONG DH, 1961, AM SOCIOL REV, V26, P183, DOI 10.2307/2089854; Zorbaugh H. W., 1929, GOLD COAST SLUM	40	2	2	0	4	AMER SOCIOLOGICAL ASSOC	WASHINGTON	1722 N ST NW, WASHINGTON, DC 20036-2981	0003-1224			AM SOCIOL REV	Am. Sociol. Rev.		1966	31	2					248	257		10.2307/2090911			10	Sociology	Social Science Citation Index (SSCI)	Sociology	ZA103	WOS:A1966ZA10300011	5910073				2022-01-23	
J	FARMER, RN				FARMER, RN			ORGANIZATIONAL TRANSFER AND CLASS STRUCTURE	ACADEMY OF MANAGEMENT JOURNAL			English	Article									INDIANA UNIV,INDIANAPOLIS,IN								ALPERT P, 1963, EC DEV, P87; BELASSA B, 1964, TRADE PROSPECTS DEVE; BLITZ RC, 1959, J POLIT ECON, V67, P560, DOI 10.1086/258243; DEWHURST JF, 1961, EUROPES NEEDS RESOUR, P61; FALTERMAYER EK, 1964, FORTUNE, V69, P118; FARMER RN, 1965, COMP MANAGEMENT EC P, P101; FRYER DW, 1965, WORLD EC DEV, P30; HARBISON F, 1964, ED MANPOWER EC GROWT, P73; HIGGINS B, 1959, ECONOMIC DEVELOPMENT, P353; ISSAWI C, 1962, EC MIDDLE EASTERN OI; KARANJIA RK, 1958, ARAB DAWN; KOONTZ H, 1964, PRINCIPLES MANAGEMEN, P205; LESTER RA, 1964, P S EMPLOYMENT, P28; MARTINDALE D, 1960, AM SOC, P334; NEWMAN WH, 1959, BUSINESS POLICIES MA, P462; POWELL RM, 1963, CALIF MANAGE REV, V6, P83, DOI 10.2307/41165580; REISSMAN L, 1959, CLASS AM LIFE, P35; ROSSI P, 1964, AM J SOC, V70, P286; SCHULTZ TW, 1961, AM ECON REV, V51, P1; SILBERMAN CE, 1965, FORTUNE, V71, P153; 1964, FOREIGN ASSISTANCE P, pR3; 1964, COLLEGE PLACEMENT AN; 1955, PROCESSES PROBLEMS I, P11	23	2	2	0	2	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1966	9	3					204	216		10.2307/255119			13	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	ZL330	WOS:A1966ZL33000003					2022-01-23	
J	ISRAEL, H				ISRAEL, H			SOME INFLUENCE OF HEBRAIC CULTURE ON MODERN SOCIAL ORGANIZATION	AMERICAN JOURNAL OF SOCIOLOGY			English	Article									UNIV DELAWARE,NEWARK,DE								DURKHEIM E, 1925, EDUCATION MORALE; EUSDEN JD, 1958, PURITANS LAWYERS POL, pR8; HALLER, 1961, RISE PURITANISM, P51; HALLER, 1961, CENTURY REVOLUTION 1, P82; HALLER W, 1938, RISE PURITANISM, P96; HALLER W, 1955, LIBERTY REFORMATION; HILL C, 1949, GOOD OLD CAUSE ENGLI, P179; KNAPPEN MM, 1939, TUDOR PURITANISM CHA, P359; MARLOWE J, 1956, PURITAN TRADITION EN, P22; NEWMAN LI, 1925, JEWISH INFLUENCE CHR, P632; PARSONS T, 1964, AM SOCIOL REV, V29, P339, DOI 10.2307/2091479; RUNES DD, 1951, HEBREW IMPACT WESTER, P50; Sorokin P., 1957, SOCIAL CULTURAL DYNA; Sprigge J., 1647, ANGLIA REDIVIVA ENGL; Talcott Parsons, 1947, THEORY SOCIAL EC ORG, P324; Talmon Jacob Leib, 1960, ORIGINS TOTALITARIAN; WEBER, THEORY SOCIAL ECONOM, P363; 1952, ANCIENT JUDAISM	18	2	2	0	0	UNIV CHICAGO PRESS	CHICAGO	5720 SOUTH WOODLAWN AVE, CHICAGO, IL 60637-1603	0002-9602			AM J SOCIOL	Am. J. Sociol.		1966	71	4					384	394		10.1086/224127			11	Sociology	Social Science Citation Index (SSCI)	Sociology	ZA475	WOS:A1966ZA47500003					2022-01-23	
J	PRASAD, SB				PRASAD, SB			NEW MANAGERIALISM IN CZECHOSLOVAKIA AND SOVIET-UNION	ACADEMY OF MANAGEMENT JOURNAL			English	Article									UNIV NEVADA,LAS VEGAS,NV								BENOIT E, 1966, COLUMBIA J WORLD SPR, P12; BERGSON A, 1964, EC SOVIET PLANNING, P76; BERLINER J, 1960, COMPARISONS US SOV 1; BERLINER JS, 1957, FACTORY MANAGER USSR; FLORINSKY M, 1964, CURRENT HISTORY  NOV, P269; GRANICK D, 1960, RED EXECUTIVE; HOEFFDING O, 1959, AER              MAY, P65; JAMES R, 1959, MANAGEMENT IND WORLD, P322; LIBERMAN E, 1965, COMMUNICATION   0305; LIBERMAN E, 1966, ECONOMIST       0226; LIBERMAN YG, 1962, PRAVDA MOSCOW   0909; LOEBL E, 1963, KULTURNY SIVOT; MARES V, 1964, CURRENT HISTORY  NOV, P272; MARRIS R, 1964, EC THEORY MANAGERIAL, P1; RICHMAN B, 1964, SOVIET MANAGEMENT, P8; RICHMAN B, 1963, MANAGEMENT INT, P67; SCHWARTZ H, 1954, RUSSIAS SOVIET EC, P183; SCHWARTZ H, 1962, NY TIMES        1125, P46; SIK O, 1963, NOVA MYSL; SPULBER N, 1962, SOVIET EC, P10; TABORSKY E, 1965, CURRENT HISTORY  MAR, P168; THOMPSON V, 1961, MODERN ORG, P79; TINBERGEN J, 1966, COLUMBIA J WORLD SUM, P148; TURGEON L, 1963, CONTRASTING EC, P215; 1966, STATIST         0826, P506; 1965, TIME            1008, P48; 1967, MANAGEMENT INT PERSP, P136; 1964, FIGYELO         0101; TIME            0212; 1966, ECONOMIST       0611, P1187; 1966, BUSINESS WEEK   0416, P76; 1965, BUSINESS WEEK   1009, P202	32	2	2	0	1	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1966	9	4					328	336		10.2307/254951			9	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	ZL331	WOS:A1966ZL33100005					2022-01-23	
J	STANLEY, JD				STANLEY, JD			FICTIONS - LEGAL AND ORGANIZATIONAL	ACADEMY OF MANAGEMENT JOURNAL			English	Article									UNIV TEXAS,ARLINGTON STATE COLL,ARLINGTON,TX								COHEN MR, 1931, ENCYCLOPEDIA SOCIAL, V3, P227; PITIRIM A, 1937, SOCIAL CULTURAL DYNA, V2, P326	2	2	2	0	1	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1966	9	2					123	126		10.2307/255030			4	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	ZL329	WOS:A1966ZL32900003					2022-01-23	
J	MEE, JF				MEE, JF			PATER-FAMILIAE-ET-MAGISTER	ACADEMY OF MANAGEMENT JOURNAL			English	Article																	DAVIS RC, 1964, NOV MAN S OH STAT U; EMERSON, 1913, 12 PRINCIPLES EFFICI; EMERSON, EFFICIENCY BASIS OPE; GANTT, WORK WAGES PROFITS; GANTT, 1916, IND LEADERSHIP; GILBRETH, MOTION STUDY; GILBRETH L, 1913, PSYCHOL MANAGEMENT; Kimball, 1913, PRINCIPLES IND ORG; Mu nsterberg H., 1913, PSYCHOL IND EFFICIEN; SCOTT WD, INCREASING HUMAN EFF; TAYLOR, PRINCIPLES SCI MANAG	11	2	2	0	1	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1965	8	1					14	23		10.2307/255128			10	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	CGH77	WOS:A1965CGH7700002					2022-01-23	
J	BRYAN, SE				BRYAN, SE			TFX - A CASE IN POLICY LEVEL DECISION-MAKING	ACADEMY OF MANAGEMENT JOURNAL			English	Article																	MURPHY C, 1962, FORTUNE          MAY, P102; 1963, WALL STREET J   0201, P1; 1963, WALL STREET J   0304, P4; 1963, WALL STREET J   0408, P5; [No title captured]; 1963, STATE J         0508, pC3; 1963, WALL STREET J   0319, P1; 1963, WALL STREET J   0503, P2	8	2	2	0	1	ACAD MANAGEMENT	BRIARCLIFF MANOR	PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, NY 10510-8020	0001-4273			ACAD MANAGE J	Acad. Manage. J.		1964	7	1					54	70		10.2307/255234			17	Business; Management	Social Science Citation Index (SSCI)	Business & Economics	CFV03	WOS:A1964CFV0300005					2022-01-23	
J	DAHRENDORF, R				DAHRENDORF, R			3 SYMPOSIA ON POLITICAL-BEHAVIOR	AMERICAN SOCIOLOGICAL REVIEW			English	Article																	CHARLESWORTH JC, 1962, LIMITS BEHAVIORALISM; MARVICK D, 1961, POLITICAL DECISION M; RANNEY A, 1962, ESSAYS BEHAVIORAL ST	3	2	2	0	0	AMER SOCIOLOGICAL ASSOC	WASHINGTON	1722 N ST NW, WASHINGTON, DC 20036-2981	0003-1224			AM SOCIOL REV	Am. Sociol. Rev.		1964	29	5					734	736		10.2307/2091424			3	Sociology	Social Science Citation Index (SSCI)	Sociology	CAF94	WOS:A1964CAF9400009					2022-01-23	
