,1,1,3,3,2,2
,Term,Tfidf,Term,Tfidf,Term,Tfidf
0,layer,0.236,material,0.306,skin,0.327
1,material,0.205,battery,0.296,graphene,0.264
2,atomic,0.2,ion,0.282,sensor,0.196
3,transition,0.173,energy,0.262,electronic,0.173
4,dimensional,0.162,graphene,0.23,high,0.142
5,single,0.162,capacitor,0.148,array,0.138
6,hydrogen,0.16,electrode,0.141,pressure,0.138
7,evolution,0.152,method,0.131,device,0.132
8,boundary,0.147,electrochemical,0.127,matrix,0.12
9,two,0.134,storage,0.127,reduction,0.12
10,molybdenum,0.133,lithium,0.099,stretchable,0.12
11,edge,0.12,application,0.098,network,0.118
12,phosphorene,0.12,device,0.098,oxygen,0.118
13,high,0.11,gas,0.093,application,0.112
14,alc,0.107,hummer,0.093,integration,0.105
15,disulphide,0.107,molecule,0.093,organic,0.103
16,exfoliated,0.107,science,0.093,based,0.102
17,grain,0.107,sulphur,0.093,flexible,0.102
18,monolayer,0.107,property,0.087,material,0.102
19,mxenes,0.107,carbon,0.084,catalyst,0.092
20,phase,0.107,oxide,0.084,integrated,0.092
21,site,0.107,power,0.084,active,0.091
22,surface,0.102,research,0.084,electronics,0.091
23,gap,0.093,high,0.077,performance,0.091
24,nanosheets,0.093,synthesis,0.077,ber,0.086
25,graphene,0.087,air,0.074,orr,0.086
26,large,0.087,anode,0.074,self,0.086
27,property,0.087,lib,0.074,highly,0.081
28,catalyst,0.081,nanostructured,0.074,activity,0.078
29,band,0.08,thermoelectric,0.074,dimensional,0.078
30,optical,0.08,capacity,0.07,human,0.078
31,plane,0.08,cell,0.07,electrical,0.071
32,raman,0.08,chemical,0.066,large,0.071
33,zhang,0.08,one,0.066,structure,0.071
34,energy,0.079,advance,0.056,surface,0.071
35,structure,0.079,advanced,0.056,conductor,0.069
36,activity,0.071,applicable,0.056,diode,0.069
37,crystalline,0.071,combination,0.056,emitting,0.069
38,layered,0.071,density,0.056,free,0.069
39,metal,0.071,efficiency,0.056,hybrid,0.069
40,result,0.071,electrolyte,0.056,tissue,0.069
41,carbide,0.067,higher,0.056,wearable,0.069
42,heterostructures,0.067,individual,0.056,applied,0.065
43,hole,0.067,kmno,0.056,cell,0.065
44,max,0.067,made,0.056,composite,0.065
45,moo,0.067,nib,0.056,display,0.065
46,application,0.063,particle,0.056,fuel,0.065
47,synthesis,0.063,portable,0.056,kim,0.065
48,direct,0.061,rechargeable,0.056,sheet,0.065
49,effect,0.061,replace,0.056,three,0.065
50,electrocatalytic,0.061,role,0.056,area,0.061
51,growth,0.061,sensor,0.056,conductivity,0.061
52,number,0.061,sustainable,0.056,light,0.061
53,storage,0.061,vehicle,0.056,assembled,0.052
54,strong,0.061,volume,0.056,catalytic,0.052
55,temperature,0.061,world,0.056,circuitry,0.052
56,ultrathin,0.061,beyond,0.055,component,0.052
57,electronic,0.055,change,0.055,conformal,0.052
58,atomically,0.053,field,0.055,derived,0.052
59,der,0.053,based,0.044,doped,0.052
60,heinz,0.053,electrical,0.044,elastic,0.052
61,lin,0.053,improved,0.044,fabrication,0.052
62,metallic,0.053,key,0.044,functionality,0.052
63,monolayers,0.053,large,0.044,gauge,0.052
64,peak,0.053,order,0.044,interactive,0.052
65,photoluminescence,0.053,performance,0.044,macroscale,0.052
66,phototransistor,0.053,reaction,0.044,macroscopic,0.052
67,screening,0.053,recent,0.044,mechanical,0.052
68,semiconducting,0.053,state,0.044,nitrogen,0.052
69,bulk,0.051,using,0.044,oer,0.052
70,efficient,0.051,compared,0.042,plastic,0.052
71,film,0.051,detection,0.042,practical,0.052
72,mesoporous,0.051,generation,0.042,rubber,0.052
73,significantly,0.051,increasing,0.042,sensing,0.052
74,thickness,0.051,lead,0.042,sgh,0.052
75,transistor,0.051,nanoscale,0.042,silk,0.052
76,active,0.047,process,0.042,single,0.052
77,device,0.047,provides,0.042,stimulus,0.052
78,performance,0.047,sensitivity,0.042,substrate,0.052
79,class,0.041,used,0.042,user,0.052
80,clean,0.041,access,0.037,wang,0.052
81,control,0.041,address,0.037,chemical,0.051
82,crystal,0.041,adsorbed,0.037,however,0.051
83,defect,0.041,aim,0.037,low,0.051
84,density,0.041,amount,0.037,metal,0.051
85,mode,0.041,aqueous,0.037,reaction,0.051
86,semiconductor,0.041,attained,0.037,system,0.051
87,shi,0.041,benefit,0.037,using,0.051
88,thin,0.041,bottom,0.037,well,0.051
89,type,0.041,broadly,0.037,development,0.041
90,van,0.041,bruce,0.037,exhibit,0.041
91,vapour,0.041,ccg,0.037,progress,0.041
92,wang,0.041,chemistry,0.037,report,0.041
93,zhou,0.041,conversion,0.037,similar,0.041
94,alloy,0.04,designing,0.037,strain,0.041
95,along,0.04,diffusion,0.037,artificial,0.039
96,alpha,0.04,equivalent,0.037,capable,0.039
97,barsoum,0.04,exceptional,0.037,carbon,0.039
98,carbonitrides,0.04,extended,0.037,chen,0.039
99,chang,0.04,far,0.037,complex,0.039
100,comparable,0.04,five,0.037,demonstrated,0.039
101,computational,0.04,framework,0.037,deposition,0.039
102,dichalcogenides,0.04,graphite,0.037,design,0.039
103,evaluated,0.04,heat,0.037,evolution,0.039
104,exfoliation,0.04,hierarchical,0.037,film,0.039
105,expose,0.04,highlighted,0.037,great,0.039
106,family,0.04,improvement,0.037,interface,0.039
107,frequency,0.04,insertion,0.037,long,0.039
108,good,0.04,intense,0.037,mechanically,0.039
109,hone,0.04,led,0.037,process,0.039
110,increased,0.04,nano,0.037,thin,0.039
111,indicate,0.04,needed,0.037,transistor,0.039
112,island,0.04,noise,0.037,ultrathin,0.039
113,iso,0.04,oil,0.037,various,0.039
114,lou,0.04,oxidized,0.037,via,0.039
115,microscopy,0.04,particular,0.037,work,0.039
116,mirror,0.04,play,0.037,alkaline,0.034
117,mobility,0.04,polymer,0.037,allowing,0.034
118,naguib,0.04,pseudo,0.037,although,0.034
119,observed,0.04,quantum,0.037,bending,0.034
120,optoelectronic,0.04,reduce,0.037,bio,0.034
121,principle,0.04,required,0.037,biological,0.034
122,pseudocapacitance,0.04,safe,0.037,brain,0.034
123,rich,0.04,scientific,0.037,comprising,0.034
124,room,0.04,scrosati,0.037,consists,0.034
125,shown,0.04,since,0.037,curvilinear,0.034
126,spin,0.04,sodium,0.037,cycle,0.034
127,stacking,0.04,tarascon,0.037,dai,0.034
128,terrones,0.04,towards,0.037,dimethyl,0.034
129,tilt,0.04,transformed,0.037,doping,0.034
130,twin,0.04,challenge,0.033,effectively,0.034
131,valley,0.04,charge,0.033,explored,0.034
132,visible,0.04,conductivity,0.033,fiber,0.034
133,waals,0.04,could,0.033,fibroin,0.034
134,area,0.039,current,0.033,foam,0.034
135,based,0.039,development,0.033,function,0.034
